,genre,year,title,duration,certificate,rating,voting
200,Animation,2024,201. Askepote,1h 12m,,3.5,86000
201,Animation,2024,202. Balentes,1h 10m,,7.4,8000
202,Animation,2024,203. Il portale magico,0h,,7.9,35000
203,Animation,2024,204. Riki Rhino: The Bird Kingdom,1h 49m,,5.1,25000
204,Animation,2024,205. The Umbrella Fairy,1h 35m,,5.7,62000
205,Animation,2024,206. Meitantei Conan Bâsasu Kaitô Kiddo,1h 21m,,6.1,172000
206,Animation,2024,207. Bartali's Bicycle,1h 20m,,7.6,9000
207,Animation,2024,208. Dinosaur Empire,0h,,0.0,0
208,Animation,2024,209. Phool Ka Chhand,1h 21m,,7.4,15000
209,Animation,2024,210. Bob a Bobek ve filmu: Na stope Mrkvojeda,1h 20m,,7.2,32000
210,Animation,2024,211. Le parfum d'Irak,1h 35m,,8.0,52000
211,Animation,2024,212. Jon Vardar protiv Galaksijata,1h 26m,,8.2,77000
212,Animation,2024,213. Daughters of Monster Magnet,46m,,0.0,0
213,Animation,2024,214. Transformers: 40th Anniversary Event,1h 36m,U,7.4,30000
214,Animation,2024,215. Code Geass: Rozé of the Recapture - Part 1,1h 14m,,7.6,43000
215,Animation,2024,216. Bread Barbershop: Celeb in Bakery Town,1h 17m,,0.0,0
216,Animation,2024,217. Pui Pui Molcar the Movie: Molmax,1h 9m,,6.4,10000
217,Animation,2024,218. Spider-Man: Blue,0h,,5.8,12000
218,Animation,2024,219. Black Butterflies,0h,,0.0,0
219,Animation,2024,220. The Worlds Divide,2h,,7.9,40000
220,Animation,2024,221. Dante's Divine Comedy,0h,,0.0,0
221,Animation,2024,222. Return,1h 30m,,0.0,0
222,Animation,2024,223. Love and Friendship,57m,,0.0,0
223,Animation,2024,224. The Greatest Surf Movie in the Universe,1h 21m,18,4.7,9000
224,Animation,2024,225. Sunburnt Unicorn,1h 21m,,7.7,13000
225,Animation,2024,226. Ivan Tsarevich i Seryy Volk 6,1h 25m,,5.6,103000
226,Animation,2024,227. The Super Paper Mario Movie,1h 41m,,0.0,0
227,Animation,2024,228. Animal Adventures: Save the Forest,1h 25m,,7.7,34000
228,Animation,2024,229. Memory Hotel,1h 40m,,0.0,0
229,Animation,2024,230. Day of the Diesels,1h 40m,,6.9,11000
230,Animation,2024,231. Kaptan Pengu ve Arkadaslari 4: Buzuldaki Sir,0h,,5.3,14000
231,Animation,2024,232. Woolina and the No Birds,1h 20m,,8.2,51000
232,Animation,2024,233. Ekip: Siberay - Günes Firtinasi,1h 12m,,6.0,14000
233,Animation,2024,234. The Ballad of Straw Hat Sam,45m,,8.5,13000
